Date,value,gross
2004-11-18,1.0,1.0
2004-11-19,0.9888831304460346,1.0
2004-11-22,0.9935993810272996,1.0
2004-11-23,0.9951152266959841,1.0
2004-11-24,0.9974734951259621,1.0
2004-11-26,0.9967155245785045,1.0
2004-11-29,0.9921676058675296,1.0
2004-11-30,0.9928415059060722,1.0
2004-12-01,1.0041266119040975,1.0
2004-12-02,1.0049683666817786,1.0
2004-12-03,1.004295134626848,1.0
2004-12-06,1.0039580891813464,1.0
2004-12-07,0.994610517363804,1.0
2004-12-08,1.0004207342494944,1.0
2004-12-09,1.0039580891813462,1.0
2004-12-10,1.0049683666817781,1.0
2004-12-13,1.0137274449369174,1.0
2004-12-14,1.0172648952949996,1.0
2004-12-15,1.0180223887113056,1.0
2004-12-16,1.01743322716529,1.0
2004-12-17,1.0106469907958535,1.0
2004-12-20,1.0109004428635922,1.0
2004-12-21,1.0186854101595917,1.0
2004-12-22,1.021138818541202,1.0
2004-12-23,1.021900796990333,1.0
2004-12-27,1.0197851020378368,1.0
2004-12-28,1.0253698267412736,1.0
2004-12-29,1.0268933065083838,1.0
2004-12-30,1.0249470885409415,1.0
2004-12-31,1.0227468459483788,1.0
2005-01-03,1.0179236225629216,1.0
2005-01-04,1.0054854814239007,1.0
2005-01-05,0.9985467539384076,1.0
2005-01-06,1.0036237156702945,1.0
2005-01-07,1.0021856423793234,1.0
2005-01-10,1.006923650141102,1.0
2005-01-11,0.9999852089343,1.0
2005-01-12,1.0032854296837985,1.0
2005-01-13,0.9952470103200606,1.0
2005-01-14,1.0004933536107712,1.0
2005-01-18,1.0109004428635924,1.0
2005-01-19,1.0003237811994867,1.0
2005-01-20,0.9942316752294214,1.0
2005-01-21,0.9881393784068954,1.0
2005-01-24,0.9861931604394532,1.0
2005-01-25,0.9889856182174018,1.0
2005-01-26,0.9919468849967923,1.0
2005-01-27,0.9936392691915747,1.0
2005-01-28,0.9936392691915747,1.0
2005-01-31,0.9998159228017065,1.0
2005-02-01,1.0061624351018137,1.0
2005-02-02,1.0092082495212706,1.0
2005-02-03,1.0065854595808366,1.0
2005-02-04,1.017331216525075,1.0
2005-02-07,1.0159774045954792,1.0
2005-02-08,1.0171622166711725,1.0
2005-02-09,1.0095466309339967,1.0
2005-02-10,1.0131852330962214,1.0
2005-02-11,1.021900796990333,1.0
2005-02-14,1.021138818541202,1.0
2005-02-15,1.0249470885409415,1.0
2005-02-16,1.025623851366394,1.0
2005-02-17,1.017331216525075,1.0
2005-02-18,1.018685410159592,1.0
2005-02-22,1.0035393588826889,1.0
2005-02-23,1.0107310613047686,1.0
2005-02-24,1.0174161458700626,1.0
2005-02-25,1.0274856171200002,1.0
2005-02-28,1.020715698635949,1.0
2005-03-01,1.025793042072757,1.0
2005-03-02,1.0252856608061283,1.0
2005-03-03,1.02570830358023,1.0
2005-03-04,1.0384853032631285,1.0
2005-03-07,1.038993257087139,1.0
2005-03-08,1.035100725726024,1.0
2005-03-09,1.023593372037576,1.0
2005-03-10,1.0258773034341322,1.0
2005-03-11,1.0186854101595917,1.0
2005-03-14,1.025031636181008,1.0
2005-03-15,1.016570192338247,1.0
2005-03-16,1.0079390806579716,1.0
2005-03-17,1.0099702279704015,1.0
2005-03-18,1.0069713632562636,1.0
2005-03-21,1.0032338040931936,1.0
2005-03-22,0.9930398016126841,1.0
2005-03-23,0.9938894767674822,1.0
2005-03-24,0.9950786784497702,1.0
2005-03-28,0.9965223818883303,1.0
2005-03-29,0.9898972249956793,1.0
2005-03-30,1.0039130480006342,1.0
2005-03-31,1.0020440298535234,1.0
2005-04-01,0.9975422020117947,1.0
2005-04-04,0.9992410751902392,1.0
2005-04-05,1.0039981681980827,1.0
2005-04-06,1.0074811301786504,1.0
2005-04-07,1.012917562520165,1.0
2005-04-08,1.0023838426597047,1.0
2005-04-11,1.0031483976170545,1.0
2005-04-12,1.008330041923606,1.0
2005-04-13,0.9964380251007251,1.0
2005-04-14,0.9834409725307011,1.0
2005-04-15,0.969679269577097,1.0
2005-04-18,0.9726522737828173,1.0
2005-04-19,0.9803824664226112,1.0
2005-04-20,0.9667060745189161,1.0
2005-04-21,0.9854795630890962,1.0
2005-04-22,0.9817417176473353,1.0
2005-04-25,0.9881978746860838,1.0
2005-04-26,0.9785985684729488,1.0
2005-04-27,0.9824212478334672,1.0
2005-04-28,0.9701038208758052,1.0
2005-04-29,0.9832709229882652,1.0
2005-05-02,0.9887922846747674,1.0
2005-05-03,0.9904910624269816,1.0
2005-05-04,0.9981371845578608,1.0
2005-05-05,0.9977967991942979,1.0
2005-05-06,0.9946536500199114,1.0
2005-05-09,1.0008553053023879,1.0
2005-05-10,0.9904910624269817,1.0
2005-05-11,0.9959275901947264,1.0
2005-05-12,0.9849699870191705,1.0
2005-05-13,0.9830161349533023,1.0
2005-05-16,0.992190221884117,1.0
2005-05-17,0.9988160467603802,1.0
2005-05-18,1.0090946923071862,1.0
2005-05-19,1.0133424000975642,1.0
2005-05-20,1.0118980286753918,1.0
2005-05-23,1.0175051785429545,1.0
2005-05-24,1.0151263934734571,1.0
2005-05-25,1.0143621247947985,1.0
2005-05-26,1.0197987479887736,1.0
2005-05-27,1.0214974303147575,1.0
2005-05-31,1.0149566302097124,1.0
2005-06-01,1.023621141070601,1.0
2005-06-02,1.025829685745202,1.0
2005-06-03,1.0206480414386505,1.0
2005-06-06,1.0197131506601738,1.0
2005-06-07,1.0204778964699843,1.0
2005-06-08,1.018608973749104,1.0
2005-06-09,1.0234510915281654,1.0
2005-06-10,1.02107287901605,1.0
2005-06-13,1.0243003849780423,1.0
2005-06-14,1.0266793609000004,1.0
2005-06-15,1.0286323541297955,1.0
2005-06-16,1.031266213512947,1.0
2005-06-17,1.0350877477587013,1.0
2005-06-20,1.0354287056796463,1.0
2005-06-21,1.0360256921765483,1.0
2005-06-22,1.0368786118231774,1.0
2005-06-23,1.022293380501884,1.0
2005-06-24,1.0147885846181135,1.0
2005-06-27,1.0162381090567234,1.0
2005-06-28,1.0247674963754743,1.0
2005-06-29,1.0220379244833087,1.0
2005-06-30,1.0164942330589108,1.0
2005-07-01,1.0194790701171912,1.0
2005-07-05,1.027667117810076,1.0
2005-07-06,1.019052991998798,1.0
2005-07-07,1.0230615616559862,1.0
2005-07-08,1.0347461218541445,1.0
2005-07-11,1.0400341664075063,1.0
2005-07-12,1.0427632611685205,1.0
2005-07-13,1.0442134535907426,1.0
2005-07-14,1.0483072388716093,1.0
2005-07-15,1.0477104432271678,1.0
2005-07-18,1.0435308697652406,1.0
2005-07-19,1.0492456604206077,1.0
2005-07-20,1.0528281519594025,1.0
2005-07-21,1.0466870923331812,1.0
2005-07-22,1.0536806899011102,1.0
2005-07-25,1.0506958528428298,1.0
2005-07-26,1.0519748506078521,1.0
2005-07-27,1.0558127981652223,1.0
2005-07-28,1.062465914943358,1.0
2005-07-29,1.0553862429156775,1.0
2005-08-01,1.0546191114501091,1.0
2005-08-02,1.0609305068974573,1.0
2005-08-03,1.0637452944133015,1.0
2005-08-04,1.055216097947011,1.0
2005-08-05,1.0480514011481126,1.0
2005-08-08,1.0460900104100488,1.0
2005-08-09,1.0524012150049364,1.0
2005-08-10,1.051889444131713,1.0
2005-08-11,1.05606892216741,1.0
2005-08-12,1.049586618341553,1.0
2005-08-15,1.05606892216741,1.0
2005-08-16,1.0423371830501273,1.0
2005-08-17,1.0422515857215275,1.0
2005-08-18,1.0421664655240792,1.0
2005-08-19,1.0445546977903786,1.0
2005-08-22,1.0445546977903786,1.0
2005-08-23,1.0425932116260845,1.0
2005-08-24,1.033296692841765,1.0
2005-08-25,1.037049043070535,1.0
2005-08-26,1.0299699436002365,1.0
2005-08-29,1.037901867290934,1.0
2005-08-30,1.0324432006377542,1.0
2005-08-31,1.0454929284869166,1.0
2005-09-01,1.0447252244639662,1.0
2005-09-02,1.042848953923351,1.0
2005-09-06,1.0550452849947327,1.0
2005-09-07,1.0568363399116694,1.0
2005-09-08,1.053339254849014,1.0
2005-09-09,1.0627217526668546,1.0
2005-09-12,1.060589453550282,1.0
2005-09-13,1.0547042316475574,1.0
2005-09-14,1.0508662840901875,1.0
2005-09-15,1.050354226938273,1.0
2005-09-16,1.057823142559442,1.0
2005-09-19,1.054312029840929,1.0
2005-09-20,1.0454039912402553,1.0
2005-09-21,1.0356394067962003,1.0
2005-09-22,1.0393218095981434,1.0
2005-09-23,1.040178737146446,1.0
2005-09-26,1.0413778631566877,1.0
2005-09-27,1.0411210711708878,1.0
2005-09-28,1.0421490025239297,1.0
2005-09-29,1.0506286727766823,1.0
2005-09-30,1.0538834706405469,1.0
2005-10-03,1.0501147071001613,1.0
2005-10-04,1.038294355376253,1.0
2005-10-05,1.0246754100632123,1.0
2005-10-06,1.0209921484251963,1.0
2005-10-07,1.0245042154060124,1.0
2005-10-10,1.0158532550698296,1.0
2005-10-11,1.0143969553688668,1.0
2005-10-12,1.0064315370713262,1.0
2005-10-13,1.0058317832137447,1.0
2005-10-14,1.0164525317962596,1.0
2005-10-17,1.0202215816153362,1.0
2005-10-18,1.009172082979979,1.0
2005-10-19,1.0259605151069753,1.0
2005-10-20,1.0078870733624463,1.0
2005-10-21,1.0118273178387227,1.0
2005-10-24,1.0275022212840772,1.0
2005-10-25,1.0254461677255329,1.0
2005-10-26,1.0224484481261589,1.0
2005-10-27,1.0115704304266926,1.0
2005-10-28,1.0261313280592537,1.0
2005-10-31,1.0289581392801188,1.0
2005-11-01,1.0320418379130138,1.0
2005-11-02,1.04283416285765,1.0
2005-11-03,1.0472880867317564,1.0
2005-11-04,1.0459175752118541,1.0
2005-11-07,1.0469453157124353,1.0
2005-11-08,1.0469453157124353,1.0
2005-11-09,1.0483159226585679,1.0
2005-11-10,1.0564528218919995,1.0
2005-11-11,1.0600503907751853,1.0
2005-11-14,1.0594508277700643,1.0
2005-11-15,1.0555963714748484,1.0
2005-11-16,1.057737831509532,1.0
2005-11-17,1.0675878224297264,1.0
2005-11-18,1.0717848588918029,1.0
2005-11-21,1.0771812122165816,1.0
2005-11-22,1.0818064261741183,1.0
2005-11-23,1.0880589436373571,1.0
2005-11-25,1.088915680333199,1.0
2005-11-28,1.0812068631689973,1.0
2005-11-29,1.0800075463062948,1.0
2005-11-30,1.0741832063385164,1.0
2005-12-01,1.0851467259403524,1.0
2005-12-02,1.0865174283127155,1.0
2005-12-05,1.0842048690470623,1.0
2005-12-06,1.0862602546219944,1.0
2005-12-07,1.079921948977695,1.0
2005-12-08,1.0792368840702045,1.0
2005-12-09,1.0820633135861484,1.0
2005-12-12,1.0830911495129598,1.0
2005-12-13,1.0904572910840706,1.0
2005-12-14,1.0947403065796681,1.0
2005-12-15,1.0915708197657124,1.0
2005-12-16,1.088057798522593,1.0
2005-12-19,1.082460572982984,1.0
2005-12-20,1.0834941344836146,1.0
2005-12-21,1.0852166733671793,1.0
2005-12-22,1.0908994008091581,1.0
2005-12-23,1.0915020174536494,1.0
2005-12-27,1.080394022539104,1.0
2005-12-28,1.0828055388056024,1.0
2005-12-29,1.077983174256218,1.0
2005-12-30,1.072127916189815,1.0
2006-01-03,1.0909853798426794,1.0
2006-01-04,1.0961516605261488,1.0
2006-01-05,1.0968411150402342,1.0
2006-01-06,1.1059681568394994,1.0
2006-01-09,1.1088099499785253,1.0
2006-01-10,1.109928822529065,1.0
2006-01-11,1.1134594976247942,1.0
2006-01-12,1.1090679825053191,1.0
2006-01-13,1.1080344210046882,1.0
2006-01-17,1.105020956077311,1.0
2006-01-18,1.1006297272365269,1.0
2006-01-19,1.1048486163053473,1.0
2006-01-20,1.084699940329979,1.0
2006-01-23,1.0885747224122537,1.0
2006-01-24,1.0896940720939452,1.0
2006-01-25,1.090641368282364,1.0
2006-01-26,1.0966684889895792,1.0
2006-01-27,1.1068289968632454,1.0
2006-01-30,1.1059681568394997,1.0
2006-01-31,1.0978741994097136,1.0
2006-02-01,1.1055376891145117,1.0
2006-02-02,1.0927077278737836,1.0
2006-02-03,1.0872825558274473,1.0
2006-02-06,1.0901241581140124,1.0
2006-02-07,1.0804801924250862,1.0
2006-02-08,1.0902966887384369,1.0
2006-02-09,1.0884886479525027,1.0
2006-02-10,1.0904686468054794,1.0
2006-02-13,1.0884886479525027,1.0
2006-02-14,1.1000263471821936,1.0
2006-02-15,1.1039015109693895,1.0
2006-02-16,1.1121679035973697,1.0
2006-02-17,1.1091545340962228,1.0
2006-02-21,1.1063984337120272,1.0
2006-02-22,1.113115104359558,1.0
2006-02-23,1.1114790216406663,1.0
2006-02-24,1.1143205285010012,1.0
2006-02-27,1.11475118707845,1.0
2006-02-28,1.104159638922414,1.0
2006-03-01,1.1139763260882254,1.0
2006-03-02,1.1138897744973222,1.0
2006-03-03,1.1087239709450043,1.0
2006-03-06,1.1036433830163652,1.0
2006-03-07,1.1019211304114915,1.0
2006-03-08,1.1042458088083957,1.0
2006-03-09,1.0968411150402342,1.0
2006-03-10,1.1072597508669244,1.0
2006-03-13,1.1093264921632648,1.0
2006-03-14,1.1209509338363197,1.0
2006-03-15,1.1259449701740558,1.0
2006-03-16,1.128270125702112,1.0
2006-03-17,1.129212555152784,1.0
2006-03-20,1.1273969756946542,1.0
2006-03-21,1.120307856470172,1.0
2006-03-22,1.1271377980530966,1.0
2006-03-23,1.1248033861806994,1.0
2006-03-24,1.1256678524011976,1.0
2006-03-27,1.1240253761248742,1.0
2006-03-28,1.1171095509346587,1.0
2006-03-29,1.1241118322895471,1.0
2006-03-30,1.1221236267807626,1.0
2006-03-31,1.1223828044223205,1.0
2006-04-03,1.1215181473493618,1.0
2006-04-04,1.128693722738517,1.0
2006-04-05,1.1325839638701043,1.0
2006-04-06,1.131373482138454,1.0
2006-04-07,1.1198759573517294,1.0
2006-04-10,1.1216047943664955,1.0
2006-04-11,1.1120949979574035,1.0
2006-04-12,1.1141701367620125,1.0
2006-04-13,1.1127004773888045,1.0
2006-04-17,1.1122681965654404,1.0
2006-04-18,1.129904490748859,1.0
2006-04-19,1.1320649406033765,1.0
2006-04-20,1.1336215332724093,1.0
2006-04-21,1.1337945410279853,1.0
2006-04-24,1.131719593075837,1.0
2006-04-25,1.1270513418884245,1.0
2006-04-26,1.127310328677522,1.0
2006-04-27,1.1327570670519111,1.0
2006-04-28,1.1365604703139043,1.0
2006-05-01,1.127310328677522,1.0
2006-05-02,1.135782460258079,1.0
2006-05-03,1.1315464898940306,1.0
2006-05-04,1.135609738781194,1.0
2006-05-05,1.1456380813258622,1.0
2006-05-08,1.1442546872648665,1.0
2006-05-09,1.1465025475463602,1.0
2006-05-10,1.14589725896742,1.0
2006-05-11,1.1320649406033767,1.0
2006-05-12,1.1172824632640053,1.0
2006-05-15,1.1195300372668082,1.0
2006-05-16,1.1178875609904848,1.0
2006-05-17,1.0966205850219586,1.0
2006-05-18,1.091087867614048,1.0
2006-05-19,1.0987818937125495,1.0
2006-05-22,1.0903962182966653,1.0
2006-05-23,1.0820970944716843,1.0
2006-05-24,1.0907421383815872,1.0
2006-05-25,1.1042282503820178,1.0
2006-05-26,1.109847328528371,1.0
2006-05-30,1.0901369452288774,1.0
2006-05-31,1.1023265010379064,1.0
2006-06-01,1.1128732942919208,1.0
2006-06-02,1.1152071336069362,1.0
2006-06-05,1.0989549014681261,1.0
2006-06-06,1.0962746649370374,1.0
2006-06-07,1.0880619972767291,1.0
2006-06-08,1.0871115520227097,1.0
2006-06-09,1.0836534008620262,1.0
2006-06-12,1.0718957441714403,1.0
2006-06-13,1.0594470107208536,1.0
2006-06-14,1.0676594875287013,1.0
2006-06-15,1.0903093804270718,1.0
2006-06-16,1.0823646696215112,1.0
2006-06-19,1.0738549401062067,1.0
2006-06-20,1.0775021306291606,1.0
2006-06-21,1.0854905466482092,1.0
2006-06-22,1.0807147500992225,1.0
2006-06-23,1.0805408835075736,1.0
2006-06-26,1.085316870909021,1.0
2006-06-27,1.075938953550236,1.0
2006-06-28,1.0832327620387616,1.0
2006-06-29,1.105114760061721,1.0
2006-06-30,1.105201502505085,1.0
2006-07-03,1.10971697629775,1.0
2006-07-05,1.1033782889485293,1.0
2006-07-06,1.1065906221399002,1.0
2006-07-07,1.0993838423734292,1.0
2006-07-10,1.101467760391228,1.0
2006-07-11,1.1063304902360391,1.0
2006-07-12,1.0945213033810788,1.0
2006-07-13,1.0767206852290439,1.0
2006-07-14,1.0725523720622947,1.0
2006-07-17,1.0709894812620608,1.0
2006-07-18,1.0764601716202613,1.0
2006-07-19,1.09139533092815,1.0
2006-07-20,1.0839277512742058,1.0
2006-07-21,1.0762864958810732,1.0
2006-07-24,1.095910423015894,1.0
2006-07-25,1.0998180317214,1.0
2006-07-26,1.1012940846520396,1.0
2006-07-27,1.1002521256431403,1.0
2006-07-28,1.111279867097984,1.0
2006-07-31,1.1101507839407996,1.0
2006-08-01,1.1046807615662113,1.0
2006-08-02,1.1121478640890043,1.0
2006-08-03,1.115100256228975,1.0
2006-08-04,1.1131903002290553,1.0
2006-08-07,1.1105850687150007,1.0
2006-08-08,1.1063304902360396,1.0
2006-08-09,1.1025963664172613,1.0
2006-08-10,1.1059831387576633,1.0
2006-08-11,1.1028573571571956,1.0
2006-08-14,1.103725449574446,1.0
2006-08-15,1.1169239469166825,1.0
2006-08-16,1.1262146447009522,1.0
2006-08-17,1.1290806761024803,1.0
2006-08-18,1.1348114983645416,1.0
2006-08-21,1.1299483868148092,1.0
2006-08-22,1.1298617397976758,1.0
2006-08-23,1.1267359581972078,1.0
2006-08-24,1.1257810279103633,1.0
2006-08-25,1.1271703383976392,1.0
2006-08-28,1.1325531411977119,1.0
2006-08-29,1.1338561863727756,1.0
2006-08-30,1.134550984755759,1.0
2006-08-31,1.1343770227378798,1.0
2006-09-01,1.1411502811399925,1.0
2006-09-05,1.1433209416011552,1.0
2006-09-06,1.1332480350069258,1.0
2006-09-07,1.128038239962429,1.0
2006-09-08,1.1312516228423337,1.0
2006-09-11,1.1323798471634452,1.0
2006-09-12,1.1434948081928042,1.0
2006-09-13,1.1480969290026026,1.0
2006-09-14,1.1481838622984273,1.0
2006-09-15,1.1508781264853734,1.0
2006-09-18,1.152448365105342,1.0
2006-09-19,1.149570214572563,1.0
2006-09-20,1.155675203083722,1.0
2006-09-21,1.150093436593425,1.0
2006-09-22,1.146604749039038,1.0
2006-09-25,1.1554139260650969,1.0
2006-09-26,1.165007124999491,1.0
2006-09-27,1.166402638191738,1.0
2006-09-28,1.1659663494667,1.0
2006-09-29,1.165007124999491,1.0
2006-10-02,1.1606463371261797,1.0
2006-10-03,1.163088485212612,1.0
2006-10-04,1.176693975427177,1.0
2006-10-05,1.178961302659657,1.0
2006-10-06,1.1774783790404342,1.0
2006-10-09,1.1781765173414789,1.0
2006-10-10,1.1797468513876779,1.0
2006-10-11,1.1783508610642794,1.0
2006-10-12,1.1885550741514335,1.0
2006-10-13,1.1916076638332431,1.0
2006-10-16,1.1934389886193761,1.0
2006-10-17,1.189688165210291,1.0
2006-10-18,1.191258690108951,1.0
2006-10-19,1.193176757338448,1.0
2006-10-20,1.1934389886193764,1.0
2006-10-23,1.198933344682697,1.0
2006-10-24,1.2025089655329086,1.0
2006-10-25,1.2066081901089039,1.0
2006-10-26,1.2103583455343763,1.0
2006-10-27,1.2027704334039944,1.0
2006-10-30,1.2018984285113004,1.0
2006-10-31,1.2017241802147303,1.0
2006-11-01,1.1936135231946374,1.0
2006-11-02,1.1929152894673625,1.0
2006-11-03,1.1908229739412954,1.0
2006-11-06,1.2042537387281387,1.0
2006-11-07,1.2088760898987658,1.0
2006-11-08,1.2114925817079985,1.0
2006-11-09,1.2051255527683717,1.0
2006-11-10,1.2056488702154642,1.0
2006-11-13,1.2086141448965282,1.0
2006-11-14,1.2176842172362907,1.0
2006-11-15,1.2211730002169081,1.0
2006-11-16,1.2243128094732334,1.0
2006-11-17,1.2246614014926043,1.0
2006-11-20,1.2253593489411885,1.0
2006-11-21,1.2265801367057136,1.0
2006-11-22,1.2290228573495277,1.0
2006-11-24,1.2240506736185357,1.0
2006-11-27,1.207218727130512,1.0
2006-11-28,1.212451329044056,1.0
2006-11-29,1.225097881070103,1.0
2006-11-30,1.2256209122385047,1.0
2006-12-01,1.2229172008547566,1.0
2006-12-04,1.2322488364918351,1.0
2006-12-05,1.2375689442585855,1.0
2006-12-06,1.236522500216861,1.0
2006-12-07,1.2311152683018256,1.0
2006-12-08,1.233383072665457,1.0
2006-12-11,1.2369591706468201,1.0
2006-12-12,1.2359991827697685,1.0
2006-12-13,1.237307190108809,1.0
2006-12-14,1.2482092552183173,1.0
2006-12-15,1.248323480416014,1.0
2006-12-18,1.2449034043212295,1.0
2006-12-19,1.2472708336693183,1.0
2006-12-20,1.2465694508764427,1.0
2006-12-21,1.2420091267555255,1.0
2006-12-22,1.2343790362313407,1.0
2006-12-26,1.2416584353590876,1.0
2006-12-27,1.2498140381336624,1.0
2006-12-28,1.2471830415374208,1.0
2006-12-29,1.2420091267555255,1.0
2007-01-03,1.2398167091138492,1.0
2007-01-04,1.242447705710091,1.0
2007-01-05,1.2325375008385628,1.0
2007-01-08,1.2382377867069214,1.0
2007-01-09,1.237185521665147,1.0
2007-01-10,1.2413070759790377,1.0
2007-01-11,1.2467453214189284,1.0
2007-01-12,1.2562165656309696,1.0
2007-01-16,1.2537608670198315,1.0
2007-01-17,1.254286856401373,1.0
2007-01-18,1.2500775099555852,1.0
2007-01-19,1.2525332085667233,1.0
2007-01-22,1.2486748397960639,1.0
2007-01-23,1.2523577197291587,1.0
2007-01-24,1.2624433180120211,1.0
2007-01-25,1.2476217159182168,1.0
2007-01-26,1.246481658744545,1.0
2007-01-29,1.245780180525439,1.0
2007-01-30,1.2522701184497216,1.0
2007-01-31,1.260688811341298,1.0
2007-02-01,1.268231014307355,1.0
2007-02-02,1.269985520978078,1.0
2007-02-05,1.2703362123745157,1.0
2007-02-06,1.2706871900496446,1.0
2007-02-07,1.273494057188372,1.0
2007-02-08,1.2718273426495463,1.0
2007-02-09,1.2623555258801231,1.0
2007-02-12,1.258058482728668,1.0
2007-02-13,1.268670165819302,1.0
2007-02-14,1.277001352857672,1.0
2007-02-15,1.2786673994128852,1.0
2007-02-16,1.2780539996043674,1.0
2007-02-20,1.2807724066275854,1.0
2007-02-21,1.2802463218198135,1.0
2007-02-22,1.2792812763525547,1.0
2007-02-23,1.2742827549819933,1.0
2007-02-26,1.273142506955861,1.0
2007-02-27,1.223416661744268,1.0
2007-02-28,1.2359571952284258,1.0
2007-03-01,1.232274315295331,1.0
2007-03-02,1.2161370717640603,1.0
2007-03-05,1.2045610111897795,1.0
2007-03-06,1.2251705004313787,1.0
2007-03-07,1.2239429374045008,1.0
2007-03-08,1.234291816656825,1.0
2007-03-09,1.2346418400696506,1.0
2007-03-12,1.236483566314889,1.0
2007-03-13,1.212453714699814,1.0
2007-03-14,1.2214875250720538,1.0
2007-03-15,1.223153476201037,1.0
2007-03-16,1.219728628794736,1.0
2007-03-19,1.2344325703465517,1.0
2007-03-20,1.241211936027405,1.0
2007-03-21,1.2616393520215472,1.0
2007-03-22,1.2606704895050758,1.0
2007-03-23,1.2625196589962793,1.0
2007-03-26,1.2608468371787127,1.0
2007-03-27,1.2578527437760911,1.0
2007-03-28,1.2486961198454254,1.0
2007-03-29,1.2500171051517899,1.0
2007-03-30,1.250281722088476,1.0
2007-04-02,1.251690213248047,1.0
2007-04-03,1.265160866199165,1.0
2007-04-04,1.2665700253423482,1.0
2007-04-05,1.2700042245192207,1.0
2007-04-09,1.2717648384686844,1.0
2007-04-10,1.2732611217601528,1.0
2007-04-11,1.268066690338738,1.0
2007-04-12,1.2737020863704767,1.0
2007-04-13,1.279512971239779,1.0
2007-04-16,1.2916633068681453,1.0
2007-04-17,1.2950975060450176,1.0
2007-04-18,1.2966820585995351,1.0
2007-04-19,1.2963301266621028,1.0
2007-04-20,1.3085685407010572,1.0
2007-04-23,1.3036383445114075,1.0
2007-04-24,1.304166337843786,1.0
2007-04-25,1.3161413754870481,1.0
2007-04-26,1.317637181647365,1.0
2007-04-27,1.3165813858350686,1.0
2007-04-30,1.3056630982664057,1.0
2007-05-01,1.3090092190326899,1.0
2007-05-02,1.316668605409584,1.0
2007-05-03,1.323801334421324,1.0
2007-05-04,1.328819418169101,1.0
2007-05-07,1.3290842259582483,1.0
2007-05-08,1.327322848598942,1.0
2007-05-09,1.3309326320396089,1.0
2007-05-10,1.3170214916093184,1.0
2007-05-11,1.328291901967874,1.0
2007-05-14,1.32538569612338,1.0
2007-05-15,1.3257386777493458,1.0
2007-05-16,1.334807223269423,1.0
2007-05-17,1.3321650618042333,1.0
2007-05-18,1.3437877858051421,1.0
2007-05-21,1.34308449448766,1.0
2007-05-22,1.3420271718556784,1.0
2007-05-23,1.342203328676855,1.0
2007-05-24,1.3300527067697978,1.0
2007-05-25,1.3355989747024144,1.0
2007-05-29,1.3404424284487004,1.0
2007-05-30,1.3513601434599811,1.0
2007-05-31,1.3499511751692586,1.0
2007-06-01,1.3566430349969054,1.0
2007-06-04,1.3568192872443126,1.0
2007-06-05,1.351447553886957,1.0
2007-06-06,1.3369197691563182,1.0
2007-06-07,1.3127954455732236,1.0
2007-06-08,1.3298767408010816,1.0
2007-06-11,1.3321650618042327,1.0
2007-06-12,1.3176371816473635,1.0
2007-06-13,1.3373608291928718,1.0
2007-06-14,1.34590119052811,1.0
2007-06-15,1.3535589546590887,1.0
2007-06-18,1.3519673405635273,1.0
2007-06-19,1.3553276798381297,1.0
2007-06-20,1.3364924504969304,1.0
2007-06-21,1.34392023741283,1.0
2007-06-22,1.3312749259277774,1.0
2007-06-25,1.3249079924143812,1.0
2007-06-26,1.3112904784947956,1.0
2007-06-27,1.329949073883667,1.0
2007-06-28,1.3297720582264172,1.0
2007-06-29,1.330214549656426,1.0
2007-07-02,1.3422401632017593,1.0
2007-07-03,1.347104133587565,1.0
2007-07-05,1.3456891534443323,1.0
