Date,value,gross
2004-11-18,1.0,1.2999999999999998
2004-11-19,0.9895629471048804,1.3031940595788967
2004-11-22,0.9957557124156295,1.301338290725315
2004-11-23,0.9967862081749604,1.3010568882721132
2004-11-24,0.9993209664165614,1.300323459473057
2004-11-26,0.9964856194384136,1.301208245026164
2004-11-29,0.9887184379475338,1.3036052218853351
2004-11-30,0.9864573903503873,1.3043319888130085
2004-12-01,0.9945580200161785,1.2999999999999998
2004-12-02,0.9920663808539971,1.300784165437142
2004-12-03,1.000425807636567,1.2983012949806567
2004-12-06,1.0005016219135863,1.298309075005553
2004-12-07,0.9942563119224213,1.3002136508033444
2004-12-08,1.0023772683848642,1.2978121580139579
2004-12-09,1.0011079987556315,1.2982204736870087
2004-12-10,1.0019757134192295,1.2979929203185911
2004-12-13,1.0104817697588322,1.295514966979326
2004-12-14,1.013762409487024,1.2945887955685058
2004-12-15,1.0197624068761635,1.2928854652778667
2004-12-16,1.0114694670935784,1.2953168841353344
2004-12-17,1.0074578736467539,1.2965228666150004
2004-12-20,1.008872385773985,1.2961371068082137
2004-12-21,1.0154264544786376,1.2942555564873959
2004-12-22,1.0149933418729336,1.2944111652308063
2004-12-23,1.0146967020892177,1.2945269996198485
2004-12-27,1.0101551348316533,1.295881068803463
2004-12-28,1.0133994310838836,1.2949640543636995
2004-12-29,1.011953223395014,1.2954162001083993
2004-12-30,1.0141173429060577,1.2948159877910814
2004-12-31,1.0153595191873266,1.294485343906649
2005-01-03,1.0106840072739294,1.2999999999999998
2005-01-04,0.9961479283793625,1.3044091391925046
2005-01-05,0.9934114595254366,1.305280278219168
2005-01-06,0.9957060934499893,1.3046091665247819
2005-01-07,0.9947425518053387,1.3049364904072855
2005-01-10,0.9991358755917472,1.3036278980283074
2005-01-11,0.997666292591807,1.3041074018619248
2005-01-12,1.0017898653851143,1.3028881062050628
2005-01-13,1.0005071095285814,1.3033088383958125
2005-01-14,1.0032925434535822,1.302499195392522
2005-01-18,1.0122022132868327,1.2998688813001882
2005-01-19,1.0058250603928098,1.3018024726593151
2005-01-20,1.0023698747122987,1.3028755627326176
2005-01-21,1.0000268496325673,1.3036178000317236
2005-01-24,1.0007254419352656,1.3034383805819074
2005-01-25,0.996600402424013,1.3047270035821221
2005-01-26,1.0009245612718356,1.3034437754895736
2005-01-27,1.0009980626487032,1.3034547862731314
2005-01-28,1.0058934229328342,1.3020113665979818
2005-01-31,1.0101564176101439,1.3007703371334698
2005-02-01,1.0134996066471016,1.2999999999999998
2005-02-02,1.0169074731925314,1.2990285954115752
2005-02-03,1.0132290399577237,1.3001482275105185
2005-02-04,1.0266975695777327,1.2962440806218236
2005-02-07,1.028550369170872,1.2957435503498567
2005-02-08,1.0320176756271888,1.2947831129952803
2005-02-09,1.0279186816270165,1.2959922565847584
2005-02-10,1.0254612455692604,1.2967353341032537
2005-02-11,1.032433252308828,1.2947650162613948
2005-02-14,1.034786411598522,1.2941284791591507
2005-02-15,1.0352123651661493,1.2940410797968425
2005-02-16,1.0337070229447418,1.2945035401987028
2005-02-17,1.025424542220418,1.2969167647924644
2005-02-18,1.0222814618393525,1.2978642506178948
2005-02-22,1.0118813353885148,1.300960953651753
2005-02-23,1.0180725791354488,1.2991659985845123
2005-02-24,1.0215578098783127,1.2981811285012268
2005-02-25,1.0315295735086072,1.295334209173012
2005-02-28,1.0217567538846029,1.2981953813700848
2005-03-01,1.0242579331884345,1.2999999999999998
2005-03-02,1.0233267890966893,1.30030981860009
2005-03-03,1.0224686697738299,1.3005985568417942
2005-03-04,1.0378552413471311,1.29617841292285
