date,optimized,fixed_40_40_10_10
2015-06-08,-0.0026387297078392324,-0.0036983395291080193
2015-06-09,-9.842524336784453e-05,-9.540519996790176e-05
2015-06-10,0.013658023708383716,0.013099540795109778
2015-06-11,0.002209412171440811,0.002084154378670011
2015-06-12,-0.0037893295290879424,-0.004327518918635242
2015-06-15,0.0003554420718130169,-0.0015614812119242984
2015-06-16,0.005959881742013506,0.005829574472574928
2015-06-17,-0.0002480916307384062,0.0003672146241386898
2015-06-18,0.008694457000455263,0.008768001264702886
2015-06-19,-0.006078885394365219,-0.005988380425006635
2015-06-22,0.008526635508139136,0.007197727177999713
2015-06-23,0.0014332973829483953,0.001063228554616491
2015-06-24,-0.006387810997876126,-0.0062707855449348655
2015-06-25,-0.0011270432878246143,-0.002563465779734375
2015-06-26,-0.004493166196761823,-0.0032042664830119975
2015-06-29,-0.0031988397054576955,-0.002295893136971794
2015-06-30,0.0010241289693545762,0.0006827526462363843
2015-07-01,0.0011355138001214568,-0.0002473512006344379
2015-07-02,-0.0007148236900588079,-2.036313065054699e-05
2015-07-06,-0.0020506597406071358,-0.0013278414173673147
2015-07-07,0.001849572659898341,0.0007922425478371742
2015-07-08,-0.00835783984441001,-0.003906438449543992
2015-07-09,-0.0025950125887227505,-0.0018249182463438208
2015-07-10,0.0035396003257763984,0.005811235746356669
2015-07-13,0.010529612963746316,0.01099979481342912
2015-07-14,0.004993086216222487,0.004172603056930502
2015-07-15,0.0005109474454556562,9.026398910916278e-05
2015-07-16,0.008269221918352599,0.008616499717044479
2015-07-17,0.005839739396349187,0.004945363830024696
2015-07-20,0.003764697042485471,0.002567287327519841
2015-07-21,-0.0048736439328646575,-0.0045833582676757635
2015-07-22,-0.008047534522216583,-0.006812258341166722
2015-07-23,-0.0012301093703761755,-0.0005913364567920687
2015-07-24,-8.819999999997164e-05,-2.9399999999990547e-05
2015-07-27,-0.002187303617113523,-0.0014582024114090154
2015-07-28,0.009889658964875942,0.009835527781573518
2015-07-29,0.004064758632985422,0.005454957737771294
2015-07-30,-0.0004853555372219596,-2.7896477477518094e-05
2015-07-31,-0.00011195844139311206,-0.0013430540660888891
2015-08-03,-0.0031416700244274124,-0.0035162674888183365
2015-08-04,-0.0033355048394226264,-0.0031313423076339887
2015-08-05,0.00770885006778208,0.005929310673712763
2015-08-06,-0.011728787259814077,-0.009217130339177593
2015-08-07,-0.00012245656446682182,-0.0006419643175565649
2015-08-10,0.015474659953137251,0.014973471479598644
2015-08-11,-0.00787549504964774,-0.009246690091886523
2015-08-12,0.005103210759390709,0.004019065708130665
2015-08-13,-0.003757492201172663,-0.0030854031436027387
2015-08-14,0.0030971695345368925,0.0034107173048723016
2015-08-17,0.006331713634847536,0.005608040253130464
2015-08-18,-0.003248435188106297,-0.0033279570072919373
2015-08-19,-0.004754606013799423,-0.006084733918178176
2015-08-20,-0.0004164999999999919,-0.0004409999999999914
2015-08-21,0.0,0.0
2015-08-24,0.0,0.0
2015-08-25,0.0,0.0
2015-08-26,0.0,0.0
2015-08-27,0.0,0.0
2015-08-28,0.0017506227954789178,0.001480310472034785
2015-08-31,-0.008755732255149518,-0.007513770999207303
2015-09-01,-0.030177550958779397,-0.030294262020159227
2015-09-02,0.014070484602292745,0.017707554928846583
2015-09-03,-0.00012991671170597973,-0.0005112778078039782
2015-09-04,-0.0001470000000000138,-9.80000000000092e-05
2015-09-08,0.022877525886426487,0.0134599123715333
2015-09-09,-0.011610212433308082,-0.012284267428071174
2015-09-10,0.008241414441698814,0.007010539166136587
2015-09-11,0.0044282292406426895,0.004259208761874223
2015-09-14,-0.0022475853453516824,-0.002728285520625218
2015-09-15,0.011161661939637624,0.011355942130786324
2015-09-16,0.003064656435383828,0.005301914270676145
2015-09-17,-0.001008314380884562,-0.002665677004607292
2015-09-18,-0.008688989059217455,-0.004509333098008362
2015-09-21,0.004889278859738566,0.00544693745674999
2015-09-22,-0.011011860518328826,-0.012327451900832367
2015-09-23,0.0010590673430922683,0.0002600467359635261
2015-09-24,0.00041959812845957515,0.00013273208563976404
2015-09-25,-0.0003429999999999156,-0.0002449999999999397
2015-09-28,0.0,0.0
2015-09-29,0.0,0.0
2015-09-30,0.0104413230187137,0.014708162374819266
2015-10-01,-0.0002694999999999948,-0.0003919999999999924
2015-10-02,0.019311672082977672,0.01699141387405574
2015-10-05,0.015842228200824204,0.017922630553467947
2015-10-06,-0.0029908990917565607,-0.0009927550313630793
2015-10-07,0.007134066583945625,0.0065501004819881305
2015-10-08,0.0005960596367901859,0.0036309871042425447
2015-10-09,0.0013377595866885805,0.0006797449832202318
2015-10-12,0.0011534390522718097,0.000904159732614196
2015-10-13,-0.006459495569457479,-0.005619538112015166
2015-10-14,7.871509757441644e-05,-0.0018405817003653293
2015-10-15,0.013247454550089438,0.013131229092903707
2015-10-16,0.0036657821653790835,0.0034095279465588884
2015-10-19,0.00015638047678727136,7.047658701461181e-05
2015-10-20,-0.006100332633997563,-0.0031134673712876486
2015-10-21,-0.00674974832302529,-0.006298763595003887
2015-10-22,0.012061742469856418,0.015429391700786544
2015-10-23,0.021232693693666038,0.017300334087014545
2015-10-26,0.0008753651849490562,-0.0007778362749325751
2015-10-27,0.005407006629710165,0.0010448567000673093
2015-10-28,0.002447259098705601,0.005274651678676623
2015-10-29,0.0013162845992372052,0.0002136318365136614
2015-10-30,-0.0018428422712293056,-0.002303689749844318
2015-11-02,0.006264045658684103,0.006725677080546544
2015-11-03,-0.0010491195462436153,0.000786898217221943
2015-11-04,-0.0012957604569234227,-0.00162095760699007
2015-11-05,-0.0027853925294917983,-0.0020484807334406607
2015-11-06,0.000605371249673792,0.0007173496516133417
2015-11-09,-0.0074804158507402515,-0.00821054565626369
2015-11-10,-0.0015780451289574174,-0.0010240782812406702
2015-11-11,-0.0031590058348475504,-0.0026916111049765656
2015-11-12,-0.00979328801867983,-0.010587370709938516
2015-11-13,-0.010747390019338028,-0.007954374559518564
2015-11-16,0.016622214823722933,0.010406693597353201
2015-11-17,0.0013038509711194525,0.0004594605307657873
2015-11-18,0.016222772107798565,0.00939683271918499
2015-11-19,-0.005275622567349264,-0.0018892075224497763
2015-11-20,0.002529126769096801,0.0008430422563656004
2015-11-23,-0.0007399904672477975,-0.0002466634890825992
2015-11-24,0.0009065526982788841,0.000302184232759628
2015-11-25,-0.0003833389404126312,-0.0009100141605024704
2015-11-27,0.0006743057729449554,0.0003334312047845178
2015-11-30,0.0010088673855810249,0.0007587654842396097
2015-12-01,0.01082037034326664,0.005879500097837553
2015-12-02,-0.010428202356961458,-0.01052611500307198
2015-12-03,-0.0071919148091647515,-0.005364119861210726
2015-12-04,0.01325824752505851,0.017167603472356865
2015-12-07,-0.004445452831555996,-0.0027260119517561908
2015-12-08,-0.0006777628099194577,-0.0007525873217354873
2015-12-09,-0.00041649999999995857,-0.00024499999999998416
2015-12-10,0.00326582210848938,0.0015667641552406188
2015-12-11,-0.004595995350416449,-0.0016381651168054568
2015-12-14,0.005808079017444479,0.005249626662326557
2015-12-15,0.006196828718037695,0.0028049783010015263
2015-12-16,0.01115558461720544,0.0121475893523741
2015-12-17,-0.0034277865733187748,-0.0014447621911062524
2015-12-18,-0.0042624178947857526,-0.0014208059649285843
2015-12-21,0.002669250959610858,0.0008897503198702861
2015-12-22,0.0019840428617442286,0.0006613476205814096
2015-12-23,0.009479154982093507,0.005265695050640429
2015-12-24,-0.00030764284984118875,-0.0011738650413365749
2015-12-28,-0.0017536096697326198,-0.001627579695597581
2015-12-29,0.010945791415996976,0.01073063649036139
2015-12-30,-0.007853565508669353,-0.007873858434087822
2015-12-31,-0.002972393409770957,-0.0013174644699236015
2016-01-04,-0.005306095555868073,-0.0017686985186226912
2016-01-05,0.00141324572537318,0.0004710819084577267
2016-01-06,-0.0023993900973706683,-0.0007997966991235561
2016-01-07,-0.00014699999999999712,-4.899999999999905e-05
2016-01-08,0.0,0.0
2016-01-11,0.0,0.0
2016-01-12,0.0,0.0
2016-01-13,0.0,0.0
2016-01-14,0.009900618262126815,0.007200449645183138
2016-01-15,-0.0005389999999999284,-0.00039199999999994795
2016-01-19,0.0,0.0
2016-01-20,0.0,0.0
2016-01-21,-0.001170796230611315,-0.0003902654102037717
2016-01-22,0.00466593233942878,0.0015553107798095935
2016-01-25,-0.009269706393158335,-0.005666227017198944
2016-01-26,0.007497498114197653,0.009723635038749002
2016-01-27,-0.011247787370003526,-0.01238870622911157
2016-01-28,0.006964390850032876,0.007107064466836644
2016-01-29,0.016986912628825068,0.02191007126779452
2016-02-01,0.0019605979129828422,0.001284208850726909
2016-02-02,-0.014612949348593047,-0.010522011859694825
2016-02-03,-0.0007364425374240368,-0.0005311400272174805
2016-02-04,-0.0012175645158548297,0.00022174254555979984
2016-02-05,-0.000416500000000114,-0.0004410000000000802
2016-02-08,0.0,0.0
2016-02-09,0.0,0.0
2016-02-10,0.0,0.0
