SPY,XLK,XLV,XLE,sharpe,return_pct,max_dd_pct
0.0,0.0,0.0,1.0,1.1693588090076572,1588.1026697699867,-23.886716435111644
0.0,0.0,0.05,0.95,1.2105559921267355,1578.8214660097854,-23.092737746224977
0.0,0.0,0.1,0.9,1.2540079946148468,1567.6432082443152,-22.293073383830176
0.0,0.0,0.15,0.85,1.2996491862214912,1554.6063256422535,-21.487713348692505
0.0,0.0,0.2,0.8,1.347315578968686,1539.7554118727235,-20.676647999276764
0.0,0.0,0.25,0.75,1.3967082975917413,1523.1409725722244,-19.859868055810605
0.0,0.0,0.3,0.7,1.447349634460941,1504.8191409939545,-19.037364604339746
0.0,0.0,0.35,0.65,1.4985337336200943,1484.8513640660108,-18.209129100772593
0.0,0.0,0.4,0.6,1.5492771943916261,1463.3040613008063,-17.375153374915097
0.0,0.0,0.45,0.55,1.5982796688287066,1440.2482591882579,-16.535429634493426
0.0,0.0,0.5,0.5,1.643910361106288,1415.7592038707317,-15.710361752053537
0.0,0.0,0.55,0.45,1.6842413733115913,1389.9159550354734,-14.99311969748075
0.0,0.0,0.6,0.4,1.7171493588292999,1362.8009640688954,-14.27218364391969
0.0,0.0,0.65,0.35,1.7404979426846647,1334.499639598639,-13.547559743409876
0.0,0.0,0.7,0.3,1.7523914468229775,1305.099903597899,-12.819254452664651
0.0,0.0,0.75,0.25,1.7514587906092574,1274.6917412496398,-12.087274534732861
0.0,0.0,0.8,0.2,1.7370982456230226,1243.3667477586105,-11.650254674109274
0.0,0.0,0.85,0.15,1.7096081091752744,1211.21767526309,-11.33843365705507
0.0,0.0,0.9,0.1,1.6701567696160025,1178.3379829329822,-11.465586676415974
0.0,0.0,0.95,0.05,1.6205988464968824,1144.8213932502617,-12.085780368535648
0.0,0.0,1.0,0.0,1.5631947678759075,1110.761457351206,-12.971803880392352
0.0,0.05,0.0,0.95,1.2515155679767012,1771.8290770035676,-22.42525402888943
0.0,0.05,0.05,0.9,1.2973318080059102,1759.8117244458233,-21.618382907944433
0.0,0.05,0.1,0.85,1.3456086233832614,1745.7149221514076,-20.805761915675603
0.0,0.05,0.15,0.8,1.3962186982754223,1729.5869470731684,-19.987381286591123
0.0,0.05,0.2,0.75,1.4489010633560817,1711.4827225332376,-19.163231620135935
